"N","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","N","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","N","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","N","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum"
"N","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","N","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","N","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","N","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b"
"400","0.024","0.016","0.067","0.112","0.032","0.154","0.016","0","0","0","0.012","0.012","0.046","0.042","0.027","0.051","0.015","0","0","0","400","0.034","0","0.102","0.031","0.055","0.133","0.002","0","0","0","0.019","0","0.039","0.024","0.035","0.037","0","0","0","0","400","0.044","0","0.178","0.007","0.728","0.727","0","0","0","0","0.029","0","0.041","0.007","0.039","0.038","0","0","0","0","400","0.033","0","0.115","0.021","0.085","0.077","0","0","0","0","0.018","0","0.057","0.02","0.037","0.033","0","0","0","0"
"800","0.041","0.005","0.073","0.169","0.027","0.207","0.016","0","0","0","0.022","0.004","0.03","0.032","0.028","0.041","0.005","0","0","0","800","0.045","0","0.173","0.03","0.051","0.196","0.004","0","0","0","0.037","0","0.048","0.018","0.03","0.028","0","0","0","0","800","0.039","0","0.267","0.005","0.963","0.963","0","0","0","0","0.021","0","0.034","0.005","0.042","0.041","0","0","0","0","800","0.037","0","0.097","0.021","0.098","0.089","0","0","0","0","0.021","0","0.032","0.019","0.025","0.029","0","0","0","0"
"1200","0.052","0.001","0.107","0.254","0.084","0.331","0.021","0","0","0","0.023","0.001","0.033","0.052","0.067","0.074","0.003","0","0","0","1200","0.045","0","0.25","0.057","0.176","0.292","0.003","0","0","0","0.037","0","0.056","0.035","0.054","0.052","0","0","0","0","1200","0.037","0","0.32","0.023","0.986","0.986","0","0","0","0","0.027","0","0.059","0.019","0.051","0.052","0","0","0","0","1200","0.047","0","0.104","0.024","0.205","0.217","0","0","0","0","0.025","0","0.037","0.018","0.047","0.045","0","0","0","0"
"1600","0.054","0.003","0.135","0.292","0.091","0.385","0.047","0","0","0","0.023","0","0.036","0.055","0.057","0.074","0.004","0","0","0","1600","0.051","0","0.315","0.053","0.198","0.369","0.003","0","0","0","0.036","0","0.061","0.019","0.051","0.046","0","0","0","0","1600","0.043","0","0.372","0.02","1","1","0","0","0","0","0.025","0","0.058","0.022","0.053","0.045","0","0","0","0","1600","0.044","0","0.132","0.025","0.276","0.286","0","0","0","0","0.024","0","0.041","0.023","0.048","0.046","0","0","0","0"
"2000","0.067","0.001","0.158","0.358","0.072","0.448","0.07","0","0","0","0.027","0","0.038","0.037","0.039","0.056","0.002","0","0","0","2000","0.047","0","0.399","0.057","0.246","0.441","0.005","0","0","0","0.033","0","0.062","0.016","0.044","0.043","0","0","0","0","2000","0.038","0","0.395","0.018","1","1","0","0","0","0","0.022","0","0.061","0.021","0.044","0.05","0","0","0","0","2000","0.04","0","0.152","0.019","0.342","0.346","0","0","0","0","0.02","0","0.044","0.016","0.032","0.037","0","0","0","0"
"2400","0.075","0","0.189","0.418","0.081","0.531","0.106","0","0","0","0.02","0","0.038","0.035","0.036","0.045","0.003","0","0","0","2400","0.065","0","0.456","0.054","0.287","0.516","0.006","0","0","0","0.033","0","0.053","0.012","0.039","0.039","0","0","0","0","2400","0.041","0","0.436","0.016","1","1","0","0","0","0","0.015","0","0.053","0.012","0.048","0.054","0","0","0","0","2400","0.046","0","0.161","0.024","0.404","0.405","0","0","0","0","0.021","0","0.05","0.013","0.034","0.032","0","0","0","0"
"2800","0.082","0.001","0.224","0.474","0.086","0.599","0.141","0","0","0","0.018","0","0.042","0.029","0.042","0.041","0.003","0","0","0","2800","0.072","0","0.504","0.057","0.338","0.584","0.006","0","0","0","0.025","0","0.055","0.017","0.041","0.039","0","0","0","0","2800","0.041","0","0.495","0.021","1","1","0","0","0","0","0.015","0","0.051","0.023","0.048","0.049","0","0","0","0","2800","0.056","0","0.187","0.021","0.487","0.482","0","0","0","0","0.029","0","0.045","0.018","0.041","0.036","0","0","0","0"
"3200","0.082","0","0.229","0.561","0.074","0.657","0.18","0","0","0","0.021","0","0.036","0.028","0.026","0.03","0.002","0","0","0","3200","0.07","0","0.546","0.052","0.384","0.668","0.005","0","0","0","0.024","0","0.055","0.017","0.041","0.04","0","0","0","0","3200","0.034","0","0.519","0.021","1","1","0","0","0","0","0.014","0","0.05","0.02","0.047","0.05","0","0","0","0","3200","0.053","0","0.201","0.018","0.539","0.543","0","0","0","0","0.022","0","0.045","0.018","0.03","0.03","0","0","0","0"
"3600","0.083","0","0.275","0.626","0.094","0.724","0.221","0","0","0","0.022","0","0.038","0.024","0.028","0.037","0.002","0","0","0","3600","0.062","0","0.591","0.056","0.444","0.754","0.006","0","0","0","0.022","0","0.05","0.015","0.039","0.039","0","0","0","0","3600","0.041","0","0.567","0.013","1","1","0","0","0","0","0.019","0","0.047","0.014","0.044","0.044","0","0","0","0","3600","0.066","0","0.204","0.021","0.583","0.581","0","0","0","0","0.024","0","0.045","0.012","0.039","0.04","0","0","0","0"
"4000","0.095","0","0.292","0.699","0.093","0.774","0.257","0","0","0","0.031","0","0.035","0.022","0.026","0.033","0.001","0","0","0","4000","0.066","0","0.632","0.07","0.486","0.812","0.005","0","0","0","0.024","0","0.049","0.008","0.037","0.037","0","0","0","0","4000","0.041","0","0.593","0.015","1","1","0","0","0","0","0.013","0","0.046","0.014","0.05","0.043","0","0","0","0","4000","0.058","0","0.228","0.021","0.643","0.645","0","0","0","0","0.022","0","0.041","0.018","0.038","0.038","0","0","0","0"
