"pmis","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Threshold","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","0 Minimum","pmis","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Threshold","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","1 Minimum","pmis","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Threshold","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","2 Minimum","pmis","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Threshold","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum","3 Minimum"
"pmis","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","pmis","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","pmis","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","pmis","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b"
"0","0.044","0","0.202","0.077","0.088","0.301","0.004","0","0","0","0.041","0.005","0.044","0.045","0.026","0.061","0.014","0","0","0","0","0.021","0","0.41","0.017","0.375","0.374","0","0","0","0","0.023","0","0.064","0.012","0.038","0.036","0","0","0","0","0","0.005","0","0.187","0.012","1","1","0","0","0","0","0.011","0","0.057","0.008","0.077","0.078","0","0","0","0","0","0.024","0","0.101","0.022","0.304","0.29","0","0","0","0","0.03","0","0.04","0.015","0.032","0.028","0","0","0","0"
"0.1","0.033","0","0.156","0.075","0.068","0.238","0.004","0","0","0","0.034","0.004","0.039","0.043","0.022","0.047","0.009","0","0","0","0.1","0.019","0","0.393","0.02","0.301","0.293","0","0","0","0","0.02","0","0.052","0.011","0.027","0.032","0","0","0","0","0.1","0.009","0","0.181","0.009","0.98","0.98","0","0","0","0","0.012","0","0.047","0.018","0.052","0.051","0","0","0","0","0.1","0.018","0","0.102","0.02","0.221","0.217","0","0","0","0","0.019","0","0.035","0.018","0.034","0.035","0","0","0","0"
"0.2","0.036","0","0.144","0.06","0.058","0.186","0.005","0","0","0","0.034","0.002","0.043","0.04","0.024","0.056","0.011","0","0","0","0.2","0.026","0","0.359","0.02","0.232","0.216","0","0","0","0","0.022","0","0.052","0.019","0.035","0.033","0","0","0","0","0.2","0.007","0","0.17","0.011","0.881","0.879","0","0","0","0","0.015","0","0.05","0.011","0.039","0.033","0","0","0","0","0.2","0.018","0","0.098","0.023","0.174","0.16","0","0","0","0","0.018","0","0.042","0.017","0.035","0.038","0","0","0","0"
"0.3","0.032","0","0.119","0.057","0.051","0.147","0.002","0","0","0","0.03","0.003","0.048","0.038","0.029","0.046","0.002","0","0","0","0.3","0.026","0","0.296","0.025","0.171","0.159","0","0","0","0","0.026","0","0.052","0.019","0.028","0.027","0","0","0","0","0.3","0.014","0","0.149","0.015","0.69","0.679","0","0","0","0","0.012","0","0.053","0.015","0.034","0.033","0","0","0","0","0.3","0.015","0","0.087","0.021","0.122","0.12","0","0","0","0","0.018","0","0.044","0.018","0.035","0.037","0","0","0","0"
"0.4","0.033","0","0.101","0.047","0.044","0.118","0.002","0","0","0","0.029","0","0.039","0.043","0.029","0.044","0.005","0","0","0","0.4","0.036","0","0.242","0.023","0.125","0.132","0","0","0","0","0.028","0","0.053","0.019","0.034","0.027","0","0","0","0","0.4","0.014","0","0.12","0.016","0.443","0.444","0","0","0","0","0.012","0","0.059","0.014","0.034","0.034","0","0","0","0","0.4","0.011","0","0.095","0.023","0.092","0.09","0","0","0","0","0.02","0","0.049","0.02","0.034","0.032","0","0","0","0"
"0.5","0.042","0","0.072","0.045","0.03","0.084","0.005","0","0","0","0.034","0.001","0.052","0.036","0.024","0.044","0.008","0","0","0","0.5","0.027","0","0.195","0.029","0.09","0.107","0","0","0","0","0.023","0","0.05","0.021","0.031","0.029","0","0","0","0","0.5","0.018","0","0.112","0.017","0.251","0.26","0","0","0","0","0.019","0","0.046","0.013","0.032","0.03","0","0","0","0","0.5","0.021","0","0.081","0.033","0.077","0.088","0","0","0","0","0.032","0","0.048","0.02","0.036","0.044","0","0","0","0"
"0.6","0.039","0","0.077","0.059","0.025","0.077","0.003","0","0","0","0.038","0","0.045","0.043","0.025","0.056","0.007","0","0","0","0.6","0.024","0","0.152","0.022","0.058","0.068","0","0","0","0","0.027","0","0.046","0.016","0.037","0.029","0","0","0","0","0.6","0.018","0","0.097","0.017","0.159","0.158","0","0","0","0","0.02","0","0.054","0.008","0.03","0.031","0","0","0","0","0.6","0.023","0","0.067","0.023","0.062","0.059","0","0","0","0","0.026","0","0.049","0.021","0.033","0.038","0","0","0","0"
"0.7","0.038","0","0.067","0.047","0.031","0.065","0.006","0","0","0","0.042","0","0.048","0.041","0.024","0.055","0.003","0","0","0","0.7","0.029","0","0.115","0.029","0.048","0.047","0","0","0","0","0.028","0","0.047","0.018","0.035","0.036","0","0","0","0","0.7","0.017","0","0.089","0.024","0.098","0.092","0","0","0","0","0.025","0","0.052","0.016","0.031","0.037","0","0","0","0","0.7","0.023","0","0.048","0.029","0.046","0.052","0","0","0","0","0.027","0","0.041","0.022","0.026","0.039","0","0","0","0"
"0.8","0.041","0","0.065","0.038","0.025","0.052","0.003","0","0","0","0.05","0.001","0.038","0.037","0.021","0.035","0.002","0","0","0","0.8","0.033","0","0.087","0.023","0.035","0.05","0","0","0","0","0.037","0","0.048","0.023","0.04","0.039","0","0","0","0","0.8","0.027","0","0.066","0.026","0.045","0.053","0","0","0","0","0.03","0","0.046","0.018","0.027","0.04","0","0","0","0","0.8","0.034","0","0.044","0.032","0.035","0.045","0","0","0","0","0.032","0","0.041","0.022","0.031","0.044","0","0","0","0"
