Test,Binomial,Binomial,Binomial,Discontinuity,Discontinuity,Discontinuity,CS1,CS1,CS1,CSUB,CSUB,CSUB,CS2B,CS2B,CS2B,LCM,LCM,LCM
fraction of p-hackers,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1
"Thresholding, h = 1", , , , , , , , , , , , , , , , , , 
No pub bias,0.0268,0.0744,0.121,0.0522,0.7176,0.9512,0.0212,0.0772,0.6312,0.0342,0.5946,1,0.0396,0.8888,1,0,0.0036,0.5388
Sharp pub bias,0.0268,0.0744,0.121,0.9378,0.9998,1,0.0642,0.1014,0.609,0.9984,0.9994,1,0.9984,0.9994,1,0,0.086,0.8866
Smooth pub bias,0.0212,0.0436,0.059,0.0528,0.4244,0.7696,0.0142,0.0136,0.0262,1,1,1,1,1,1,0,0,0.0026
"Minimum, h = 1", , , , , , , , , , , , , , , , , , 
No pub bias,0.0268,0.0224,0.0162,0.0522,0.0526,0.0554,0.0212,0.0148,0.014,0.0342,0.0336,0.6012,0.0396,0.0352,0.5888,0,0,0
Sharp pub bias,0.0268,0.0224,0.0162,0.9378,0.9288,0.928,0.0642,0.0452,0.035,0.9984,0.9994,1,0.9984,0.9994,1,0,0,0
Smooth pub bias,0.0212,0.0166,0.0142,0.0528,0.0542,0.048,0.0142,0.0122,0.012,1,1,1,1,1,1,0,0,0
"Thresholding, h = 2", , , , , , , , , , , , , , , , , , 
No pub bias,0.0194,0.0396,0.0582,0.051,0.6598,0.9724,0.016,0.009,0.0128,0.0406,1,1,0.038,1,1,0,0,0
Sharp pub bias,0.0194,0.0396,0.0582,0.9266,0.999,1,0.0346,0.0296,0.0282,0.9988,0.9978,0.9958,0.9988,0.9978,0.9958,0,0,0
Smooth pub bias,0.011,0.0194,0.0256,0.0462,0.3778,0.8296,0.0104,0.009,0.0096,1,1,1,1,1,1,0,0,0
"Minimum, h = 2", , , , , , , , , , , , , , , , , , 
No pub bias,0.0194,0.011,0.0064,0.051,0.0474,0.0484,0.016,0.0104,0.0124,0.0406,0.0396,0.0808,0.038,0.0378,0.0806,0,0,0
Sharp pub bias,0.0194,0.011,0.0064,0.9266,0.92,0.9178,0.0346,0.032,0.0302,0.9988,0.9978,0.9958,0.9988,0.9978,0.9958,0,0,0
Smooth pub bias,0.011,0.0086,0.003,0.0462,0.0496,0.0454,0.0104,0.0098,0.0086,1,1,1,1,1,1,0,0,0
"Thresholding, h ~ Pi_hat", , , , , , , , , , , , , , , , , , 
No pub bias,0.0218,0.0468,0.0738,0.0498,0.2818,0.6318,0.0142,0.0182,0.0228,0.0296,0.7788,1,0.0298,0.7858,1,0,0,0
Sharp pub bias,0.0218,0.0468,0.0738,0.9116,0.9986,1,0.0574,0.0484,0.0562,0.9944,0.997,0.998,0.9944,0.997,0.998,0,0,0.0002
Smooth pub bias,0.0116,0.026,0.0346,0.042,0.1308,0.3298,0.0102,0.0088,0.0116,0.1342,1,1,0.1338,1,1,0,0,0
"Minimum, h ~ Pi_hat", , , , , , , , , , , , , , , , , , 
No pub bias,0.0218,0.019,0.0188,0.0498,0.0496,0.0468,0.0142,0.0152,0.0146,0.0296,0.035,0.0322,0.0298,0.0308,0.0316,0,0,0
Sharp pub bias,0.0218,0.019,0.0188,0.9116,0.9182,0.9296,0.0574,0.0486,0.05,0.9944,0.997,0.998,0.9944,0.997,0.998,0,0,0
Smooth pub bias,0.0116,0.012,0.0114,0.042,0.036,0.039,0.0102,0.0082,0.0112,0.1342,0.0852,0.0656,0.1338,0.0846,0.066,0,0,0
